brand,brand_top1_positive,brand_top1_neutral,brand_top1_negative,brand_top1_name,brand_top2_positive,brand_top2_neutral,brand_top2_negative,brand_top2_name,brand_top3_positive,brand_top3_neutral,brand_top3_negative,brand_top3_name
3Second,0.957916796207428,0.9656994354050115,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
AXA Mandiri,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Advan,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Allianz,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Anteraja,0.9449245929718018,0.9557308480143547,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Aqua,0.9385164561478988,0.9388013196663118,0.871689518292745,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Asuransi Astra,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Axioo,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
BCA Digital,0.5262402296066284,0.9919118881225586,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
BNI,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
BRI,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bank BCA,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bank Jago,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bank Mandiri,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bardi,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Baygon,0.7750398914019266,0.8888286501169205,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Biznet,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Blibli,0.9370039822691578,0.9260397676340083,0.8884853720664978,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Brodo,0.966615746418635,0.9710730612277985,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Bukalapak,0.8969680070877075,0.9709563123715388,0.9940123558044434,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Chitato,0.8456650111410353,0.9123863790716443,0.9990500807762146,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Cimory,0.9682448208332062,0.9805269837379456,0.9671977758407593,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Cottonology,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Daia,0.9839920997619629,0.9713965853055319,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Damn! I Love Indonesia,0.9774957497914633,0.9471441760207667,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Dana,0.9325820505619049,0.9751483696572324,0.8430615812540054,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Emina,0.9014545171349136,0.9431515167921017,0.8073316812515259,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Erigo,0.8976824151145087,0.9882249701023101,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Evercoss,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"evercoss, asean, berbagi",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Flip,0.0,0.0,0.0,"tp201, vivobook, meluncur",0.9471425196019615,0.9522398050342288,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Frestea,0.8922858834266663,0.9955872297286987,0.9990399479866028,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Garuda Indonesia,0.8801571689546108,0.93205320644073,0.7853940427303314,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Geoff Max,0.8105128506819407,0.9777332246303558,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gojek,0.9404547927172288,0.9603727757930756,0.8147971406579018,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Good Day,0.9115680000361275,0.9109895695810732,0.8447423577308655,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Gopay,0.8380308270454406,0.9088189091001239,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Grab,0.9173602272163738,0.9176833665193017,0.9208971410989761,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Greenfields,0.854305911064148,0.9470490983554295,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Hammer,0.888284968478339,0.9594513479574227,0.9984866380691528,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Hit,0.9597756703694661,0.9792653593150052,0.9108335177103678,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
IndiHome,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Indomie,0.966830708410429,0.9245960559955863,0.8989390216090463,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
J&T Express,0.9389449242622622,0.9559833543996016,0.9000978708267212,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
JD.ID,0.9037457166648493,0.8832824852155603,0.9218079745769501,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Jenius,0.8316184282302856,0.9821366288445212,0.8770096898078918,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Kahf,0.9156308902634515,0.9108447088645055,0.8624431908130645,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Kopi Kapal Api,0.961491048336029,0.9167761260812933,0.7907778322696686,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Lazada,0.9085103839635849,0.960050458603717,0.7805843353271484,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Le Minerale,0.8715973182728416,0.9188438195448655,0.8861170649528504,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
LinkAja,0.8283868134021759,0.7504907846450806,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Lion Air,0.9356697797775269,0.9349925294518471,0.9743034839630127,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Livin' by Mandiri,0.9254186868667602,0.9941507577896118,0.9975376129150391,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Lois Indonesia,0.776848038037618,0.7099618688225746,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
MS Glow,0.8633874527045658,0.9413009039733721,0.8476368561387062,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Make Over,0.9244672507047653,0.9502032326929497,0.9079466760158539,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Mama Lemon,0.7914265990257263,0.9792829155921936,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Mie Sedaap,0.8870584145188332,0.9481373589772445,0.935955822467804,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Monstore,0.8259839713573456,0.9341517175946917,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
MyRepublic Indonesia,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Nescafe,0.9226306656311298,0.9358857549153842,0.9689855575561523,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
OVO,0.8166631013154984,0.9887140542268753,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Orami,0.9120333957672119,0.907092197374864,0.8167946934700012,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Pegadaian,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Polytron,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Pop Mie,0.9153326004743576,0.843615452448527,0.9551931023597717,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Pos Indonesia,0.9503822579775771,0.9142017341354518,0.968435138463974,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Prudential Indonesia,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Purbasari,0.9340252096836383,0.9297788189007685,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Qtela,0.0,0.8620136380195618,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ralali,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rinso,0.9488580425580343,0.9917064640257094,0.9692647258440653,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
SariWangi,0.9051452438036601,0.9377733013209175,0.9986403584480286,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sariayu Martha Tilaar,0.8719986900687218,0.9041745385953358,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Scarlett Whitening,0.8858614478792463,0.9658662676811218,0.9965841770172119,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
SeaBank,0.8041214048862457,0.9894901911417643,0.9729161858558655,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Shopee,0.9911306500434875,0.9248633086681366,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
SiCepat,0.7607234716415405,0.9573750822774826,0.9968572457631429,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
SilverQueen,0.8941037356853485,0.8646107494831086,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Smartfren,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
So Klin,0.0,0.9481957435607911,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
So Nice,0.8059886246919632,0.9490511976182461,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sociolla,0.9331147262924596,0.8739176041939679,0.7385509759187698,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Somethinc,0.9337904844965254,0.954969667840278,0.6674636602401733,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sosro,0.8840356568495432,0.9347070306539536,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sunlight,0.9305615254810878,0.938216857612133,0.9955116510391235,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Tango,0.7287186734816608,0.9682140946388245,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
The Executive,0.894692674279213,0.9480441710616969,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Tiket.com,0.9662041068077087,0.9988428354263306,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Tokopedia,0.918343914521707,0.9432640307479434,0.9293314559119088,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Top Coffee,0.7182138562202454,0.914137085278829,0.9963659346103668,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Torabika,0.996550977230072,0.9938807884852091,0.4852006137371063,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Traveloka,0.8796136509882261,0.9459989813028598,0.9426293969154358,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ultra Milk,0.9260395914316177,0.954300786058108,0.9993728995323181,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Viva Cosmetics,0.9010961140905108,0.8938666880130768,0.9865202903747559,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Wardah,0.9301186812420686,0.9420203955277152,0.9233079637799945,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Wings Group,0.6069304347038269,0.9617994651198387,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zalora,0.9308217249504508,0.9444393102418293,0.9888869779450553,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zyrex,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
