influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Ayu Tingting,0.8912636131048203,0.8328061103820801,0.6606361865997314,"tingting, ayu, iki",0.8374517957369486,0.9539631605148315,0.0,"the, and, to",0.947586715221405,0.8570856849352518,0.9857305288314819,"diskon, brand, promo"
Atta Halilintar,0.9361544559741842,0.7674544390290976,0.8778471881928651,"yg, ga, aja",0.5697733163833618,0.9544828023229327,0.0,"de, la, su",0.9535307884216309,0.9321210831403732,0.9126850366592407,"diskon, brand, promo"
Prilly Latuconsina,0.9283980173724038,0.9758508483568827,0.9767505526542664,"gisella, anastasia, mulya",0.0,0.9789934456348419,0.0,"diskon, brand, promo",0.9837434887886047,0.0,0.0,"the, and, to"
Raditya Dika,0.9073163341908228,0.8725182225829676,0.9615989699959755,"yg, ga, aja",0.9552891424724034,0.9204676598310471,0.9952782690525055,"the, and, to",0.0,0.5546540684170194,0.0,"diskon, brand, promo"
Iqbaal Ramadhan,0.8778049510258895,0.8150408303737641,0.8211450179417928,"the, and, to",0.6977850794792175,0.8376252529572468,0.9595379084348679,"iqbaal, ramadhan, dhiafakhri",0.9838545918464661,0.5430676937103271,0.0,"diskon, brand, promo"
Michelle Ziudith,0.9201558324479565,0.9228053907553355,0.9434877634048462,"yg, ga, aja",0.9904840191205343,0.6078731417655945,0.937052027175301,"محمد, الله, سيدنا",0.9950637221336365,0.9130726337432862,0.0,"diskon, brand, promo"
Chelsea Olivia,0.877880365137131,0.7341358533927372,0.7834013315538565,"the, and, to",0.0,0.0,0.9039206244051456,"高仿包包, 时尚, 衣服",0.9536602079868317,0.321821916103363,0.0,"de, la, su"
Dinda Hauw,0.886133556564649,0.9101019831080186,0.888686564233568,"yg, ga, aja",0.9135773181915283,0.9984346032142639,0.793089747428894,"sibungbung, miawaug, jess",0.0,0.9656314253807068,0.9970191717147827,"the, and, to"
Lyodra Ginting,0.9080319404602051,0.8297453658622608,0.0,"galaxys25, itsgalaxys25, samsungid",0.9459603428840637,0.9922420121729374,0.9959545135498047,"gisella, anastasia, mulya",0.0,0.9985008935133616,0.0,"chef, zahra, gozali"
Gisella Anastasia,0.892700548355396,0.9138608652854634,0.6131145656108856,"gisella, anastasia, mulya",0.8424097299575806,0.5970069865385691,0.8827046751976013,"diskon, brand, promo",0.9447466433048248,0.4979555408159892,0.0,"the, and, to"
Natasha Wilona,0.8534792775199527,0.956630285527255,0.9778219372034073,"yg, ga, aja",0.36703231930732727,0.935307577252388,0.0,"diskon, brand, promo",0.9309431314468384,0.7915196478366852,0.9530634880065918,"the, and, to"
Ariel Noah,0.744644182920456,0.9204667762238928,0.9131475718958038,"yg, ga, aja",0.8903211504220963,0.9317285948329501,0.650680661201477,"the, and, to",0.0,0.9974322489329747,0.6568892002105713,"chef, zahra, gozali"
Cinta Laura,0.9810857159750802,0.6796681582927704,0.8893090827124459,"yg, ga, aja",0.9917066097259521,0.9781844002859933,0.0,"dwnmemb_, dian, laura",0.9882319569587708,0.9304780258851892,0.0,"gisella, anastasia, mulya"
Felicya Angelista,0.9907589384487697,0.9634452684895023,0.0,"gisella, anastasia, mulya",0.9974780678749084,0.9809661560824939,0.0,"scarlett, whitening, angelista",0.9398461409977504,0.9254439473152161,0.0,"yg, ga, aja"
Indra Bekti,0.9355694055557251,0.7482584792634716,0.9889294505119324,"bekti, ssefmun, indra",0.0,0.998531791071097,0.0,"australia, bekti, pindah",0.9791499972343445,0.6957428114754813,0.0,"diskon, brand, promo"
Rizky Febian,0.8909528770962277,0.8642974003003194,0.9311888217926025,"yg, ga, aja",0.9449288547039032,0.5929108532992277,0.0,"diskon, brand, promo",0.7008352279663086,0.9783134758472443,0.8924624025821686,"the, and, to"
Tasya Kamila,0.9050768382019467,0.8727503546646663,0.7820304900407791,"yg, ga, aja",0.0,0.9881300032138824,0.9991866946220398,"dennysantoso, indonesia, tarikuang",0.0,0.6998510658740997,0.0,"the, and, to"
Alexa Belvana,0.0,0.9912179112434387,0.0,"diskon, brand, promo",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"yg, ga, aja"
Ayla Dimitri,0.9174700140953064,0.9370663240551949,0.9762274980545044,"yg, ga, aja",0.939733362197876,0.5656151420929852,0.908769428730011,"the, and, to",0.8222217361132304,0.9029138370564109,0.0,"diskon, brand, promo"
Valerie Pola,0.9144418064285728,0.7091997702916463,0.9018614068627357,"the, and, to",0.7628879229227702,0.8507496416568756,0.0,"diskon, brand, promo",0.9259517714381218,0.6998003050684929,0.9936652183532715,"de, la, su"
Sarah Gabriella Tumiwa,0.0,0.9971029162406921,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Tiffany Regina,0.8914614647207125,0.8569319279988606,0.8304393668969472,"the, and, to",0.8768454591433207,0.8407794609665871,0.0,"de, la, su",0.8076435089111328,0.911712096287654,0.0,"diskon, brand, promo"
Vili Su,0.8969475950605126,0.7471455389314944,0.6870286464691162,"de, la, su",0.9870303273200989,0.5399204095204672,0.717799723148346,"the, and, to",0.0,0.4769968092441559,0.0,"tingting, ayu, iki"
Claradevi,0.8768580076949937,0.551475533417293,0.825894010918481,"the, and, to",0.9133194535970688,0.7595934434370561,0.8466076068580151,"diskon, brand, promo",0.9883485635121664,0.9855221509933472,0.9940386712551117,"yg, ga, aja"
Yumi Kwandy,0.930402231843848,0.9567743483043852,0.963519275188446,"chika, kinsky, yumi",0.967805027961731,0.8544670343399048,0.9305746257305145,"the, and, to",0.0,0.9931300381819407,0.0,"diskon, brand, promo"
Fadhilah Razak,0.888743111720452,0.9261316140492757,0.7573377266526222,"ni, nak, tu",0.8732390574046544,0.4784361645579338,0.9378281868994236,"sibungbung, miawaug, jess",0.9927187959353129,0.08275978763898213,0.9280932545661926,"yg, ga, aja"
Jessica Charis,0.7176626274983088,0.6793767809867859,0.8176014721393585,"the, and, to",0.9081611931324005,0.769419531027476,0.0,"diskon, brand, promo",0.930971622467041,0.0,0.0,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq"
Evelyn Ramli,0.9436253905296326,0.9973025321960449,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Aurel Oriana,0.0,0.0,0.0,"de, la, su",0.0,0.9887824654579163,0.0,"diskon, brand, promo",0.0,0.0,0.0,"the, and, to"
Angel Tamara,0.8816755422063776,0.4865469343132443,0.8602559924125671,"the, and, to",0.903491775904383,0.7652199268341064,0.0,"de, la, su",0.6978251338005066,0.8550863103433088,0.0,"diskon, brand, promo"
Calista Cherrie,0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Shalfa Putri Raihan,0.9325937165154351,0.0,0.0,"高仿包包, 时尚, 衣服",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo"
Sarah Ayu,0.7495072143418449,0.2893894504417073,0.6208606660366058,"高仿包包, 时尚, 衣服",0.9554610133171082,0.4341174066066742,0.9816813468933105,"the, and, to",0.0,0.5983054280281067,0.9932964444160461,"diskon, brand, promo"
Agustina Hermanto,0.898729165395101,0.8895983517855063,0.0,"chef, zahra, gozali",0.7247857451438904,0.9476905663808187,0.0,"diskon, brand, promo",0.8664456407229105,0.8313818871974945,0.0,"dennysantoso, indonesia, tarikuang"
Najwa Shihab,0.7525980075200399,0.9885831800374117,0.8008333683013916,"dennysantoso, indonesia, tarikuang",0.9779702425003052,0.9838314235210419,0.974244087934494,"gisella, anastasia, mulya",0.9870657444000244,0.9215201338132223,0.926455944776535,"the, and, to"
Dewi Lestari,0.8025891184806824,0.0,0.0,"diskon, brand, promo",0.9689392447471619,0.0,0.0,"yg, ga, aja",0.8342740535736084,0.0,0.0,"chef, zahra, gozali"
Brian Febrian,0.0,0.0,0.0,"bernapas, rip, dewa",0.8253665367762247,0.0,0.9088974595069885,"the, and, to",0.9825875163078308,0.32749343746238285,0.0,"diskon, brand, promo"
Najelaa Shihab,0.9200162440538406,0.8466217306753,0.8102676868438721,"gisella, anastasia, mulya",0.8971241977479723,0.7598046149526324,0.9823607603708903,"dennysantoso, indonesia, tarikuang",0.9617050439119339,0.9443695147832235,0.0,"the, and, to"
Gede Prama,0.9504695001036622,0.8032816867033641,0.8652736783027649,"the, and, to",0.0,0.9985023736953735,0.0,"diskon, brand, promo",0.0,0.0,0.981401264667511,"chef, zahra, gozali"
Gitasav,0.9371005058288574,0.13527666670935495,0.9713909908344871,"yg, ga, aja",0.8568616310755411,0.5766961524883906,0.7599151730537415,"the, and, to",0.8582388162612915,0.0,0.9948073923587799,"dennysantoso, indonesia, tarikuang"
Alya Nurshabrina,0.862584799528122,0.9529039525624478,0.0,"diskon, brand, promo",0.8349168683801379,0.8021613756815592,0.9366692304611206,"the, and, to",0.0,0.9983479380607605,0.0,"chef, zahra, gozali"
Reza Aditya,0.8712359760936937,0.4163427259773016,0.7247004747390747,"the, and, to",0.7679813035896846,0.37519840598106385,0.9865949153900146,"diskon, brand, promo",0.9649959972926548,0.2413123995065689,0.0,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq"
Felix Siauw,0.9951771001021067,0.936163013180097,0.9400986909866333,"siauw, felix, skakmat",0.7491387367248535,0.9983476400375366,0.9324664384126663,"habib, ustadz, ust",0.9969584345817566,0.9602960705757141,0.9992947578430176,"diskon, brand, promo"
Nadia Mulya,0.9355439245700836,0.8322776096562544,0.0,"gisella, anastasia, mulya",0.0,0.8482796609401703,0.0,"diskon, brand, promo",0.0,0.9934149503707885,0.0,"chef, zahra, gozali"
Luna Vidya,0.8674054443836212,0.7899379581212997,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo",0.0,0.0,0.0,"yg, ga, aja"
Agustinus Wibowo,0.8538031155864397,0.8680865486462911,0.8567878206570944,"telenovelena, mom, blm",0.9327541987101237,0.9595082402229309,0.7995512882868449,"chef, zahra, gozali",0.0,0.9919218103090922,0.0,"diskon, brand, promo"
Rara Sekar,0.9706433919759897,0.8357709104364569,0.9870475431283315,"dennysantoso, indonesia, tarikuang",0.8871255367994308,0.9262581467628479,0.8630541801452637,"yg, ga, aja",0.8172871530056,0.7920541763305664,0.8567836880683899,"the, and, to"
Isyana Sarasvati,0.8756013214588165,0.9562033528977252,0.7671325206756592,"isyana, sarasvati, seno",0.840590588748455,0.894116222858429,0.6264145871003469,"the, and, to",0.9400591850280762,0.9725528614861625,0.9471934288740158,"yg, ga, aja"
Vidi Aldiano,0.8582047373056412,0.9932052176825854,0.9489169120788574,"chef, zahra, gozali",0.9836931824684143,0.9808769978974995,0.0,"dennysantoso, indonesia, tarikuang",0.0,0.9086994230747223,0.7860846718152364,"the, and, to"
Helga Angelina,0.78426274061203,0.860738217830658,0.7953462898731232,"the, and, to",0.9736216366291046,0.9660063236951828,0.0,"de, la, su",0.0,0.9884585738182068,0.0,"diskon, brand, promo"
Melati Wijsen,0.8890562013524478,0.9047236442565918,0.9448386430740356,"the, and, to",0.8419787188371023,0.9761397913098335,0.0,"diskon, brand, promo",0.9165197229385376,0.7798433105150858,0.0,"de, la, su"
Anindya Kusuma,0.9882628321647644,0.0,0.9608536227182909,"tanyakanrl, hayuuuuukk, cewe",0.922870472073555,0.7841351628303528,0.0,"diskon, brand, promo",0.6671857237815857,0.8854157527287801,0.4394197463989258,"chef, zahra, gozali"
Eva Bande,0.9426960133491679,0.8585166808886405,0.7383421063423157,"de, la, su",0.8749532848596573,0.8809435566266378,0.9599704345067342,"the, and, to",0.9853010773658752,0.8543264468510946,0.0,"diskon, brand, promo"
Zahra Muzdalifah,0.7972614169120789,0.976939023010374,0.960525631904602,"chef, zahra, gozali",0.8199912773238288,0.9336291392644246,0.0,"the, and, to",0.9191573773111615,0.9680280685424805,0.0,"高仿包包, 时尚, 衣服"
Sarwendah,0.8649661938349406,0.9182752593533023,0.8978836238384247,"chef, zahra, gozali",0.7438417673110962,0.8253377437591553,0.9981704950332642,"diskon, brand, promo",0.9533044695854187,0.6223770976066589,0.9969313740730286,"the, and, to"
Cut Meyriska,0.8525427665029254,0.8659592668215433,0.9248736898104349,"yg, ga, aja",0.926132082939148,0.9919779300689697,0.0,"diskon, brand, promo",0.9915199875831604,0.6649113694826762,0.0,"the, and, to"
Danu Alqamara,0.0,0.0,0.0,"bernapas, rip, dewa",0.0,0.0,0.0,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0,"the, and, to"
Donna Harun,0.8851899121488843,0.9002101624553854,0.761821965376536,"gisella, anastasia, mulya",0.8654207478870045,0.8857800712188085,0.6635388493537903,"the, and, to",0.8342616111040115,0.8181668619314829,0.0,"diskon, brand, promo"
Rian Fahardhi,0.0,0.9985252618789673,0.0,"rian, fahardhi, tiktok",0.592696487903595,0.998781715120588,0.0,"diskon, brand, promo",0.0,0.994772473971049,0.5454991459846497,"the, and, to"
Nona Berlian Sakina,0.0,0.9931262731552124,0.0,"gisella, anastasia, mulya",0.0,0.0,0.0,"the, and, to",0.0,0.0,0.0,"diskon, brand, promo"
Henjiwong,0.9735374368470291,0.7648074395126767,0.4926189109683037,"the, and, to",0.9377294097627912,0.0,0.8138890266418457,"yg, ga, aja",0.9035712139947074,0.9259678244590759,0.9642830133438111,"sibungbung, miawaug, jess"
Anakjajan,0.9465673491358757,0.3681838256972177,0.9836267828941345,"the, and, to",0.7874997903903326,0.9207063292463621,0.7506707906723022,"diskon, brand, promo",0.8551676571369171,0.1312340497970581,0.9079107046127319,"yg, ga, aja"
Kuliner Koko,0.9329400919377804,0.82724928855896,0.9559373706579208,"yg, ga, aja",0.9433254870501432,0.9472308357556661,0.9976087808609009,"diskon, brand, promo",0.8982439637184143,0.9056918223698934,0.9993950128555298,"dennysantoso, indonesia, tarikuang"
Susan Theresia,0.0,0.0,0.9581875205039978,"the, and, to",0.9689376950263977,0.0,0.0,"diskon, brand, promo",0.927995502948761,0.0,0.0,"sibungbung, miawaug, jess"
Agakenyang,0.9374688852067087,0.5481800409880552,0.9830344319343567,"fypシ, shopeehaul, fypviraltwitter",0.9107727663857597,0.0,0.9984939877803509,"yg, ga, aja",0.9931849837303162,0.0,0.9985835403203964,"mah, teu, kang"
Ayoe Widya,0.8251421018080278,0.9600130776445309,0.9907631675402323,"diskon, brand, promo",0.9682055115699768,0.9049561222394308,0.0,"yg, ga, aja",0.0,0.0,0.0,"the, and, to"
Syifa Hadju,0.9445692752346848,0.9181950558786807,0.9488057454427083,"yg, ga, aja",0.9841795563697815,0.9926839890805158,0.8363039493560791,"gisella, anastasia, mulya",0.9893701076507568,0.8667160272598267,0.9927181005477905,"the, and, to"
Greysia Polii,0.9848844210306803,0.6330160626343319,0.8035626113414764,"the, and, to",0.0,0.9180634990334511,0.0,"diskon, brand, promo",0.0,0.982687458395958,0.838936984539032,"yg, ga, aja"
Apriyani Rahayu,0.0,0.9977751276322774,0.0,"diskon, brand, promo",0.9040870666503906,0.9214223861694336,0.0,"the, and, to",0.0,0.0,0.0,"yg, ga, aja"
Liliyana Natsir,0.857975443204244,0.984183840061489,0.0,"diskon, brand, promo",0.0,0.9975739256902174,0.0,"combipharid, hangestri, megawati",0.7890246510505676,0.9400656372308731,0.0,"the, and, to"
Rio Haryanto,0.955880880355835,0.9267595360676447,0.9387017786502838,"dennysantoso, indonesia, tarikuang",0.9122141798337301,0.8152248813555791,0.8512153625488281,"the, and, to",0.0,0.9033388048410416,0.5908355116844177,"ampat, tambang, raja"
Anthony Ginting,0.0,0.8588988102972508,0.9634311199188232,"chef, zahra, gozali",0.8301794528961182,0.818555311723189,0.7670073747634888,"the, and, to",0.9877103865146637,0.9920385897159576,0.0,"diskon, brand, promo"
Jonatan Christie,0.5294283032417297,0.9788693598023167,0.0,"diskon, brand, promo",0.0,0.9746813228789796,0.0,"chef, zahra, gozali",0.9766049683094025,0.9322400178228106,0.0,"the, and, to"
Kevin Sanjaya,0.6033845394849777,0.9520847889093252,0.5763533711433411,"the, and, to",0.9450976550579071,0.989076241850853,0.6292359828948975,"diskon, brand, promo",0.9798974394798279,0.9098502546548843,0.8714525997638702,"yg, ga, aja"
Marcus Gideon,0.8978332485471453,0.6095714196562767,0.8080152760852467,"the, and, to",0.9018073081970215,0.7285378890879014,0.0,"diskon, brand, promo",0.0,0.6559893488883972,0.0,"gideon, marcus, fernaldi"
Rizki Amelia,0.9176103296103301,0.5311560460499355,0.84301272365782,"the, and, to",0.7642106339335442,0.8159569632261992,0.7789996713399887,"diskon, brand, promo",0.9891429543495178,0.9474270105361938,0.0,"officialcatcoin, catcoin, giveaway"
Eko Yuli Irawan,0.0,0.8824693461259207,0.0,"diskon, brand, promo",0.0,0.9985367804765701,0.0,"chef, zahra, gozali",0.0,0.977220892906189,0.0,"the, and, to"
Diananda Choirunisa,0.9863601922988892,0.984685142250622,0.0,"chef, zahra, gozali",0.8801718652248383,0.9848965155450922,0.0,"diskon, brand, promo",0.8968398896130648,0.9533140526877509,0.0,"the, and, to"
Indra Sjafri,0.0,0.9136412123387511,0.8296106576919555,"chef, zahra, gozali",0.8818608045578002,0.7370208452145258,0.8710057497024536,"yg, ga, aja",0.9746273458003998,0.9970712235995701,0.0,"diskon, brand, promo"
Wahyu Nayaka,0.8636819124221802,0.9671831707159678,0.9838520884513855,"diskon, brand, promo",0.957943320274353,0.91774582862854,0.9555694460868835,"yg, ga, aja",0.0,0.9985577662785848,0.0,"chef, zahra, gozali"
Ahsan Hendra,0.947756963116782,0.8895941717284066,0.8948863595724106,"yg, ga, aja",0.9028834917328574,0.87682158606393,0.8886107206344604,"the, and, to",0.8798510432243347,0.965193811390135,0.0,"chef, zahra, gozali"
