influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise
INF001,Ayu Tingting,Instagram,83,"['Entertainment','Music','Lifestyle']",Generasi Milenial,Perempuan,Menengah,"['Glamour','Modern']","['Energetic','Expressive']",Fun,True,Positive,False,"['Dangdut','Artis'] ",False,0.36,False,False
INF002,Atta Halilintar,YouTube,90,"['Entertainment','Vlog','Family']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Entrepreneur']","['Energetic','Ambitious']",Inspiring,True,Positive,False,"['Gen Halilintar','Vlogger']",False,0.68,False,False
INF003,Prilly Latuconsina,Instagram,85,"['Entertainment','Acting','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Glamour']","['Expressive','Friendly']",Passion,True,Positive,False,"['Sinetron','Aktris']",False,0.48,False,False
INF004,Raditya Dika,YouTube,88,"['Comedy','Writing','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Simple','Modern']","['Humorous','Creative']",Creativity,True,Positive,False,"['Standup','Penulis']",False,0.48,True,False
INF005,Iqbaal Ramadhan,Instagram,80,"['Music','Acting','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Friendly','Talented']",Youthfulness,True,Positive,False,"['CJR','Musisi']",False,0.53,False,False
INF006,Michelle Ziudith,Instagram,74,"['Acting','Lifestyle','Travel']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Travel']","['Friendly','Adventurous']",Passion,False,Positive,False,"['Aktris','Traveler']",False,0.88,False,False
INF007,Chelsea Olivia,Instagram,75,"['Acting','Family','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.35,False,False
INF008,Dinda Hauw,Instagram,73,"['Acting','Family','Lifestyle']",Generasi Z,Perempuan,Menengah,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.41,False,False
INF009,Lyodra Ginting,Instagram,78,"['Music','Entertainment','Youth']",Generasi Z,Perempuan,Menengah,"['Modern','Youthful']","['Talented','Expressive']",Talent,False,Positive,False,"['Idol','Musisi']",False,0.28,False,False
INF010,Gisella Anastasia,Instagram,72,"['Entertainment','Music','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Expressive','Friendly']",Family,False,Positive,False,"['Artis','Ibu']",False,0.22,False,False
INF011,Natasha Wilona,Instagram,77,"['Acting','Lifestyle','Beauty']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Talented']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.32,False,False
INF012,Ariel Noah,Instagram,92,"['Music','Entertainment','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Music']","['Talented','Cool']",Talent,True,Positive,False,"['Noah','Musisi']",False,0.94,False,False
INF013,Cinta Laura,Instagram,69,"['Acting','Music','Education']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Education']","['Talented','Smart']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.72,False,False
INF014,Felicya Angelista,Instagram,61,"['Acting','Entrepreneur','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Entrepreneur']","['Caring','Ambitious']",Family,False,Positive,False,"['Aktris','Bisnis']",False,0.88,False,False
INF015,Indra Bekti,Instagram,69,"['Entertainment','MC','Comedy']",Generasi X,Laki-laki,Menengah,"['Modern','Simple']","['Humorous','Friendly']",Fun,False,Positive,False,"['MC','Presenter']",False,0.53,False,False
INF016,Rizky Febian,Instagram,82,"['Music','Entertainment','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Talented','Friendly']",Talent,True,Positive,False,"['Musisi','Idol']",False,0.42,False,False
INF017,Tasya Kamila,Instagram,76,"['Entertainment','Education','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Education']","['Smart','Friendly']",Empowerment,False,Positive,False,"['Aktris','Pendidikan']",False,0.35,False,False
INF018,Alexa Belvana,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True
INF019,Ayla Dimitri,Instagram,84,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.81,True,True
INF020,Valerie Pola,Instagram,71,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.27,True,True
INF021,Sarah Gabriella Tumiwa,Instagram,77,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.27,True,True
INF022,Tiffany Regina,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.61,True,True
INF023,Vili Su,Instagram,82,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,True,Positive,False,"['Fashion','Influencer']",False,0.32,True,True
INF024,Claradevi,Instagram,66,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.43,True,True
INF025,Yumi Kwandy,Instagram,78,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.94,True,True
INF026,Fadhilah Razak,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.52,True,True
INF027,Jessica Charis,Instagram,69,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.78,True,True
INF028,Evelyn Ramli,Instagram,79,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.75,True,True
INF029,Aurel Oriana,Instagram,76,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Confident']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.47,True,True
INF030,Angel Tamara,Instagram,73,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Creative','Confident']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.77,True,True
INF031,Calista Cherrie,Instagram,80,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Friendly']",Elegance,True,Positive,False,"['Beauty','Fashion']",False,0.93,True,True
INF032,Shalfa Putri Raihan,Instagram,60,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Friendly']",Confidence,False,Positive,False,"['Fashion','Model']",False,0.94,True,True
INF033,Sarah Ayu,Instagram,68,"['Beauty','Fashion','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Stylish','Creative']",Elegance,False,Positive,False,"['Beauty','Fashion']",False,0.9,True,True
INF034,Agustina Hermanto,Instagram,67,"['Beauty','Fashion','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Trendy']","['Confident','Creative']",Creativity,False,Positive,False,"['Fashion','Influencer']",False,0.31,True,True
INF035,Najwa Shihab,YouTube,64,"['Education','Media','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Jurnalis','Narasi']",True,0.66,True,True
INF036,Dewi Lestari,Instagram,76,"['Education','Writing','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Musisi']",True,0.52,True,True
INF037,Brian Febrian,Instagram,65,"['Education','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Modern']","['Smart','Critical']",Knowledge,False,Positive,True,"['Pakar','Edukasi']",True,0.94,True,True
INF038,Najelaa Shihab,Instagram,73,"['Education','Public Expert']",Generasi X,Perempuan,Menengah ke atas,"['Intellectual','Modern']","['Smart','Caring']",Empowerment,False,Positive,True,"['Pendidikan','Aktivis']",True,0.69,True,True
INF039,Gede Prama,Instagram,84,"['Education','Spiritual','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Spiritual','Simple']","['Wise','Calm']",Wisdom,False,Positive,True,"['Spiritual','Motivator']",True,0.41,True,True
INF042,Gitasav,Instagram,77,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.23,True,True
INF043,Alya Nurshabrina,Instagram,78,"['Education','Public Expert','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.76,True,True
INF044,Reza Aditya,Instagram,68,"['Education','Public Expert','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Motivational']","['Smart','Inspiring']",Empowerment,False,Positive,True,"['Motivator','Edukasi']",True,0.2,True,True
INF045,Felix Siauw,YouTube,82,"['Education','Religion','Public Expert']",Generasi X,Laki-laki,Menengah ke atas,"['Religious','Modern']","['Wise','Inspiring']",Faith,False,Positive,True,"['Ustadz','Motivator']",True,0.42,True,True
INF046,Nadia Mulya,Instagram,67,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']",Family,False,Positive,True,"['Parenting','Edukasi']",True,0.31,True,True
INF047,Luna Vidya,Instagram,76,"['Education','Public Expert','Parenting']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Family']","['Caring','Smart']",Family,False,Positive,True,"['Parenting','Edukasi']",True,0.92,True,True
INF048,Agustinus Wibowo,Instagram,61,"['Education','Writing','Public Expert']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Intellectual','Creative']","['Smart','Creative']",Wisdom,False,Positive,True,"['Penulis','Travel']",True,0.24,True,True
INF053,Rara Sekar,Instagram,83,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Musisi']",True,0.45,True,True
INF055,Isyana Sarasvati,Instagram,62,"['Activism','Music','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Creative']","['Talented','Inspiring']",Creativity,True,Positive,True,"['Musisi','Aktivis']",True,0.85,True,True
INF056,Vidi Aldiano,Instagram,70,"['Activism','Music','Changemaker']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Creative']","['Talented','Friendly']",Empowerment,True,Positive,True,"['Musisi','Aktivis']",True,0.38,True,True
INF061,Helga Angelina,Instagram,76,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Vegan']",True,0.39,True,True
INF062,Melati Wijsen,Instagram,80,"['Activism','Social','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Eco-conscious']","['Caring','Inspiring']",Sustainability,True,Positive,True,"['Lingkungan','Aktivis']",True,0.55,True,True
INF065,Anindya Kusuma,Instagram,78,"['Activism','Social','Changemaker']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Creative']",Empowerment,True,Positive,True,"['Aktivis','Influencer']",True,0.27,True,True
INF067,Eva Bande,Instagram,60,"['Activism','Social','Changemaker']",Generasi X,Perempuan,Menengah ke atas,"['Modern','Social']","['Caring','Inspiring']",Justice,True,Positive,True,"['Aktivis','Lingkungan']",True,0.93,True,True
INF068,Zahra Muzdalifah,Instagram,74,"['Activism','Sports','Changemaker']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Sporty']","['Energetic','Inspiring']",Empowerment,True,Positive,True,"['Atlet','Aktivis']",True,0.24,True,True
INF069,Sarwendah,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Selebriti']",False,0.81,True,False
INF070,Cut Meyriska,Instagram,62,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.6,True,False
INF072,Danu Alqamara,Instagram,63,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Family','Simple']","['Friendly','Caring']",Family,False,Positive,False,"['Ayah','Influencer']",False,0.79,True,False
INF074,Donna Harun,Instagram,69,"['Lifestyle','Family','Everyday']",Generasi X,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Elegant']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.2,True,False
INF075,Rian Fahardhi,Instagram,78,"['Lifestyle','Family','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Simple','Modern']","['Friendly','Caring']",Fun,False,Positive,False,"['Influencer','Daily']",False,0.4,True,False
INF076,Nona Berlian Sakina,Instagram,77,"['Lifestyle','Family','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Family','Simple']","['Caring','Friendly']",Family,False,Positive,False,"['Ibu','Influencer']",False,0.23,True,False
INF078,Henjiwong,Instagram,61,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Chef']",False,0.91,True,False
INF080,Anakjajan,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.27,True,False
INF081,Kuliner Koko,Instagram,82,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False
INF082,Susan Theresia,Instagram,79,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.84,True,False
INF083,Agakenyang,Instagram,65,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Laki-laki,Menengah,"['Modern','Culinary']","['Friendly','Creative']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.37,True,False
INF084,Ayoe Widya,Instagram,66,"['Culinary','Lifestyle','Everyday']",Generasi Milenial,Perempuan,Menengah,"['Modern','Culinary']","['Creative','Friendly']",Creativity,True,Positive,False,"['Kuliner','Foodblogger']",False,0.88,True,False
INF085,Syifa Hadju,Instagram,73,"['Lifestyle','Beauty','Everyday']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Stylish']",Beauty,False,Positive,False,"['Aktris','Beauty']",False,0.78,True,False
INF086,Greysia Polii,Instagram,84,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.29,True,True
INF087,Apriyani Rahayu,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Z,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.91,True,True
INF088,Liliyana Natsir,Instagram,83,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.23,True,True
INF089,Rio Haryanto,Instagram,72,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Modern']","['Energetic','Ambitious']",Achievement,True,Positive,True,"['F1','Balap']",True,0.53,True,True
INF090,Anthony Ginting,Instagram,62,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.69,True,True
INF091,Jonatan Christie,Instagram,65,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.43,True,True
INF092,Kevin Sanjaya,Instagram,81,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.57,True,True
INF093,Marcus Gideon,Instagram,73,"['Sports','Athlete','Motivation']",Generasi Z,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.6,True,True
INF094,Rizki Amelia,Instagram,66,"['Sports','Athlete','Motivation']",Generasi Milenial,Perempuan,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Badminton','Olimpiade']",True,0.33,True,True
INF095,Eko Yuli Irawan,Instagram,70,"['Sports','Athlete','Motivation']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Sporty','Disiplin']","['Energetic','Inspiring']",Achievement,True,Positive,True,"['Angkat Besi','Olimpiade']",True,0.41,True,True
